,tractid,tractnum,name,namelsad,nta,nta_name,bcode,geometry,MonthYear,TotalMonthlyReport,CountyName,CensusBlockID_list,Ticket_list,Classification_list,Zipcode_list,CountyTract
10,36005002702,2702,27,Census Tract 27.02,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1007223.040435408 233484.1466346549, 1007340.754013385 233712.696849333, 1007452.641515348 233952.1721546992, 1007672.008059086 233829.6019338979, 1007965.606372997 233667.3936039261, 1008224.863993685 233522.6429690077, 1008461.135783646 233389.530890351, 1008703.467866139 233288.8530937431, 1008948.843086922 233192.1885114872, 1009280.080660049 233056.26664827, 1009407.209982608 232998.1045146621, 1009250.33910871 232903.9437228439, 1009036.749189727 232775.8427115205, 1008777.225009371 232624.0152848601, 1008496.113131798 232462.6963348907, 1008350.288472687 232389.3195591439, 1008203.367779293 232303.555177521, 1007782.621805977 232525.0235065941, 1007921.352721504 232776.1856463219, 1007094.824080743 233235.1843305916, 1007223.040435408 233484.1466346549))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
11,36005002800,2800,28,Census Tract 28,BX09,Soundview-Castle Hill-Clason Point-Harding Park,36005,"POLYGON ((1016698.019293766 239230.3541837282, 1016967.51557578 239286.8242204252, 1017481.353133681 239374.5995642161, 1017741.755009263 239400.4614671851, 1017997.701201915 239445.6298119749, 1018254.476228344 239491.1663603136, 1018509.865441661 239537.4323456451, 1018766.638540867 239582.9743203397, 1019019.813799515 239627.7851831242, 1019234.251306062 239665.6203624247, 1019281.876126937 239650.751324612, 1019310.501810585 239568.4525921258, 1019402.541876072 238889.462220465, 1019548.434521117 238105.9861547294, 1019385.455504982 238074.7808172892, 1018669.059399432 237939.6773891697, 1018536.238736259 237914.7143178855, 1018060.833267527 237836.8073606713, 1017528.142810921 237749.7226272418, 1017313.43520778 237489.657019409, 1016660.141006637 238373.0195085616, 1016528.419143966 238770.334964646, 1016264.628901963 238998.7885836434, 1016232.941514106 239101.4896902925, 1016197.94181632 239197.6284180026, 1016698.019293766 239230.3541837282))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
12,36005003100,3100,31,Census Tract 31,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1009661.525526266 233357.6045306406, 1009762.996794181 233741.7208134491, 1009846.271217788 234052.9512341683, 1009922.614035952 234372.5543687249, 1010035.065191888 234836.1088077633, 1010178.996229585 235367.4639895611, 1010432.908034748 235298.1486738715, 1010695.126895522 235227.7520681885, 1010774.358172919 235170.6378716408, 1010985.81575006 234945.7105276093, 1011034.301419258 234656.4813799388, 1011081.419842422 234353.0417573086, 1010559.863684601 233860.9813823484, 1010196.254205777 233467.1071122908, 1009596.44950667 233111.6099203036, 1009661.525526266 233357.6045306406))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
13,36005003300,3300,33,Census Tract 33,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1007452.641515348 233952.1721546992, 1007604.855599874 234282.770733197, 1007730.55318565 234548.8572005744, 1007964.528562924 234486.4191439928, 1008250.148169039 234268.4630520452, 1008478.088762566 234154.6526491187, 1008729.823925006 234055.4418287475, 1008972.698190029 233960.5966165393, 1009229.671629213 233886.1711555384, 1009486.642856426 233815.3917727898, 1009762.996794181 233741.7208134491, 1009661.525526266 233357.6045306406, 1009596.44950667 233111.6099203036, 1009407.209982608 232998.1045146621, 1009280.080660049 233056.26664827, 1008948.843086922 233192.1885114872, 1008703.467866139 233288.8530937431, 1008461.135783646 233389.530890351, 1008224.863993685 233522.6429690077, 1007965.606372997 233667.3936039261, 1007672.008059086 233829.6019338979, 1007452.641515348 233952.1721546992))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
14,36005003500,3500,35,Census Tract 35,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1008900.324718625 235713.706858498, 1009157.550189059 235645.110225519, 1009418.933044224 235572.8772774563, 1009672.562943955 235504.2823772519, 1009925.64065844 235435.6895458928, 1010178.996229585 235367.4639895611, 1010035.065191888 234836.1088077633, 1009922.614035952 234372.5543687249, 1009846.271217788 234052.9512341683, 1009762.996794181 233741.7208134491, 1009486.642856426 233815.3917727898, 1009229.671629213 233886.1711555384, 1008972.698190029 233960.5966165393, 1009062.90932122 234265.2733978825, 1009151.443407713 234583.4292596196, 1009275.262648397 235042.2555152817, 1009097.490169472 235097.451747621, 1009077.972842852 235234.4220415896, 1008900.324718625 235713.706858498))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
15,36005003700,3700,37,Census Tract 37,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1007821.980258918 234755.5242819336, 1007925.000056914 234994.9932680371, 1008028.850757688 235231.9131830999, 1008134.359572685 235469.563874936, 1008239.033728117 235709.4002429763, 1008344.813030312 235949.2381887774, 1008661.066406636 235808.9208277595, 1008900.324718625 235713.706858498, 1009077.972842852 235234.4220415896, 1009097.490169472 235097.451747621, 1009275.262648397 235042.2555152817, 1009151.443407713 234583.4292596196, 1009062.90932122 234265.2733978825, 1008972.698190029 233960.5966165393, 1008729.823925006 234055.4418287475, 1008478.088762566 234154.6526491187, 1008250.148169039 234268.4630520452, 1007964.528562924 234486.4191439928, 1007730.55318565 234548.8572005744, 1007821.980258918 234755.5242819336))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
16,36005003800,3800,38,Census Tract 38,BX09,Soundview-Castle Hill-Clason Point-Harding Park,36005,"POLYGON ((1021408.474209066 238422.4593400001, 1021661.653938503 238469.1194464026, 1021923.964044812 238517.2537317325, 1022173.827901689 238559.1776625209, 1022436.969793163 238605.1327841724, 1022576.030511186 237829.3151965569, 1022317.866580993 237780.8160539815, 1022061.358355139 237734.8726007577, 1021974.469960283 237720.5281280077, 1021805.955174715 237689.6622484268, 1021750.950547843 237998.5345012639, 1021408.474209066 238422.4593400001))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
17,36005003900,3900,39,Census Tract 39,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1004424.316620491 234736.0643515858, 1004611.829374441 234939.5204324382, 1004858.062077083 235097.8501789599, 1005098.752478422 235259.4566962335, 1005363.791287742 235112.1300218256, 1005984.165110214 234768.7451575341, 1006936.089303619 234237.6868960794, 1007452.641515348 233952.1721546992, 1007340.754013385 233712.696849333, 1007223.040435408 233484.1466346549, 1007094.824080743 233235.1843305916, 1006611.49760837 233502.5204512426, 1006383.82452928 233629.4646894142, 1005597.237339297 234065.5978812627, 1004972.421865122 234408.9887520339, 1004696.013339269 234573.7981872083, 1004645.883280037 234603.9958345322, 1004424.316620491 234736.0643515858))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
18,36005004001,4001,40,Census Tract 40.01,BX55,Soundview-Bruckner,36005,"POLYGON ((1023099.611138428 241170.7530964636, 1023011.198766221 241425.2832387161, 1022921.403961255 241680.1758621383, 1023826.359953927 241841.2160948349, 1023873.280732212 241578.9699302301, 1023919.649028189 241316.7229823787, 1023965.741571057 241054.4757014489, 1024011.279808988 240793.320640248, 1024060.706126723 240524.5210008665, 1024019.477670456 240519.7169504076, 1023977.972444667 240514.9125165496, 1023895.799949983 240500.5688509753, 1023819.998638844 240482.5924922741, 1023748.906780474 240461.7093473509, 1023363.214689712 240397.3250302867, 1023077.966424333 240343.3089545442, 1022807.995797785 241123.2880299461, 1023099.611138428 241170.7530964636))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
19,36005004100,4100,41,Census Tract 41,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1005098.752478422 235259.4566962335, 1005335.011638841 235419.9687558126, 1005598.932275301 235599.0886005152, 1005816.646484487 235750.8450000711, 1006361.958908723 235446.3870053499, 1007270.60453984 234996.184854677, 1007821.980258918 234755.5242819336, 1007730.55318565 234548.8572005744, 1007604.855599874 234282.770733197, 1007452.641515348 233952.1721546992, 1006936.089303619 234237.6868960794, 1005984.165110214 234768.7451575341, 1005363.791287742 235112.1300218256, 1005098.752478422 235259.4566962335))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
20,36005004200,4200,42,Census Tract 42,BX09,Soundview-Castle Hill-Clason Point-Harding Park,36005,"POLYGON ((1020864.516228122 239947.8383926128, 1021637.284331788 240092.930888815, 1022396.496485489 240228.918283145, 1022661.836183583 240273.4220197673, 1023077.966424333 240343.3089545442, 1023363.214689712 240397.3250302867, 1023748.906780474 240461.7093473509, 1023819.998638844 240482.5924922741, 1023895.799949983 240500.5688509753, 1023977.972444667 240514.9125165496, 1024019.477670456 240519.7169504076, 1024023.40421921 240488.0260695185, 1024026.473615874 240472.7289498804, 1024038.746457228 240414.4551646238, 1024044.86794839 240394.4266759327, 1024049.640366581 240353.264427081, 1024052.717572865 240333.2309432911, 1024055.802561056 240308.4610917207, 1024070.548408484 240261.1214973886, 1024110.667873948 240267.381157999, 1024139.442918658 240103.8411783724, 1024201.749545013 239746.164892891, 1024246.464846179 239483.5517179977, 1024295.055258057 239221.3093926256, 1023428.186963224 239067.6002640165, 1023478.730919832 238790.4217155478, 1023202.588154227 238742.2483652112, 1022944.9846712 238696.2937651945, 1022690.147961642 238650.3462913418, 1022436.969793163 238605.1327841724, 1022173.827901689 238559.1776625209, 1021923.964044812 238517.2537317325, 1021661.653938503 238469.1194464026, 1021408.474209066 238422.4593400001, 1021055.422791493 238892.279447634, 1020848.572059956 239142.994310391, 1020706.631314494 239299.0809207065, 1020475.36706443 239593.4827203273, 1020367.800868376 239715.3750648135, 1020328.947856581 239786.7272319244, 1020272.677548458 239845.6661244482, 1020864.516228122 239947.8383926128))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
