MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME
December-2019,1441.0,1,144100,Census Tract 1441
December-2019,1459.0,1,145900,Census Tract 1459
December-2019,1463.0,2,146300,Census Tract 1463
December-2019,1507.02,1,150702,Census Tract 1507.02
December-2019,1551.02,4,155102,Census Tract 1551.02
December-2019,1567.0,1,156700,Census Tract 1567
December-2019,1571.01,3,157101,Census Tract 1571.01
December-2019,1579.03,1,157903,Census Tract 1579.03
December-2019,1621.0,2,162100,Census Tract 1621
February-2018,113.0,1,11300,Census Tract 113
February-2019,22.02,1,2202,Census Tract 22.02
February-2019,24.03,1,2403,Census Tract 24.03
February-2019,37.0,1,3700,Census Tract 37
February-2019,83.01,1,8301,Census Tract 83.01
February-2019,87.0,1,8700,Census Tract 87
February-2019,97.01,1,9701,Census Tract 97.01
February-2019,133.04,1,13304,Census Tract 133.04
January-2019,40.0,1,4000,Census Tract 40
January-2019,44.0,1,4400,Census Tract 44
January-2019,57.01,1,5701,Census Tract 57.01
January-2019,67.0,1,6700,Census Tract 67
January-2019,73.0,1,7300,Census Tract 73
January-2019,92.0,1,9200,Census Tract 92
January-2019,113.0,1,11300,Census Tract 113
January-2019,127.0,1,12700,Census Tract 127
January-2019,1039.0,1,103900,Census Tract 1039
January-2020,2.0,1,200,Census Tract 2
January-2020,2.02,1,202,Census Tract 2.02
January-2020,2.03,1,203,Census Tract 2.03
January-2020,6.0,3,600,Census Tract 6
January-2020,7.0,2,700,Census Tract 7
January-2020,7.01,1,701,Census Tract 7.01
January-2020,8.01,1,801,Census Tract 8.01
January-2020,11.01,2,1101,Census Tract 11.01
January-2020,13.02,2,1302,Census Tract 13.02
January-2020,14.01,3,1401,Census Tract 14.01
January-2020,14.02,3,1402,Census Tract 14.02
January-2020,15.01,3,1501,Census Tract 15.01
January-2020,15.02,2,1502,Census Tract 15.02
January-2020,15.03,1,1503,Census Tract 15.03
January-2020,16.0,1,1600,Census Tract 16
January-2020,17.0,2,1700,Census Tract 17
January-2020,18.0,2,1800,Census Tract 18
January-2020,20.0,1,2000,Census Tract 20
January-2020,21.04,2,2104,Census Tract 21.04
January-2020,21.05,2,2105,Census Tract 21.05
