Year,Date,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_list,CensusBlockID_list
2019,11/05/2019,09 AM,66.0,1,6600,Census Tract 66,Westchester County,[361190066001004],[1004]
2019,11/05/2019,11 AM,80.0,1,8000,Census Tract 80,Westchester County,[361190080003009],[3009]
2019,11/05/2019,01 PM,111.01,1,11101,Census Tract 111.01,Westchester County,[361190111011009],[1009]
2019,11/06/2019,04 PM,100.0,1,10000,Census Tract 100,Westchester County,[361190100003011],[3011]
2019,11/06/2019,08 PM,68.01,1,6801,Census Tract 68.01,Westchester County,[361190068013042],[3042]
2019,11/08/2019,08 AM,148.11,1,14811,Census Tract 148.11,Westchester County,[361190148113012],[3012]
2019,11/09/2019,01 PM,45.0,1,4500,Census Tract 45,Westchester County,[361190045001001],[1001]
2019,11/10/2019,04 PM,70.0,1,7000,Census Tract 70,Westchester County,[361190070004002],[4002]
2019,11/11/2019,12 PM,21.05,1,2105,Census Tract 21.05,Westchester County,[361190021051006],[1006]
2019,11/11/2019,12 PM,44.0,1,4400,Census Tract 44,Westchester County,[361190044001004],[1004]
2019,11/13/2019,12 PM,68.02,1,6802,Census Tract 68.02,Westchester County,[361190068022015],[2015]
2019,11/14/2019,02 PM,69.0,1,6900,Census Tract 69,Westchester County,[361190069003036],[3036]
2019,11/14/2019,02 PM,68.02,1,6802,Census Tract 68.02,Westchester County,[361190068024010],[4010]
2019,11/14/2019,05 PM,114.0,1,11400,Census Tract 114,Westchester County,[361190114002013],[2013]
2019,11/15/2019,07 AM,21.01,1,2101,Census Tract 21.01,Westchester County,[361190021013007],[3007]
2019,11/15/2019,09 AM,119.02,1,11902,Census Tract 119.02,Westchester County,[361190119022001],[2001]
2019,11/15/2019,11 AM,123.01,1,12301,Census Tract 123.01,Westchester County,[361190123011026],[1026]
2019,11/15/2019,12 PM,21.01,1,2101,Census Tract 21.01,Westchester County,[361190021011005],[1005]
2019,11/18/2019,10 AM,44.0,1,4400,Census Tract 44,Westchester County,[361190044003013],[3013]
2019,11/19/2019,10 PM,68.02,1,6802,Census Tract 68.02,Westchester County,[361190068023024],[3024]
2019,11/20/2019,11 AM,45.0,1,4500,Census Tract 45,Westchester County,[361190045001001],[1001]
2019,11/20/2019,03 PM,89.01,1,8901,Census Tract 89.01,Westchester County,[361190089015005],[5005]
2019,11/20/2019,06 PM,6.0,1,600,Census Tract 6,Westchester County,[361190006004004],[4004]
2019,11/21/2019,09 AM,65.0,1,6500,Census Tract 65,Westchester County,[361190065003000],[3000]
2019,11/21/2019,10 AM,75.0,1,7500,Census Tract 75,Westchester County,[361190075002002],[2002]
2019,11/21/2019,10 AM,63.0,1,6300,Census Tract 63,Westchester County,[361190063001004],[1004]
2019,11/21/2019,12 PM,85.0,1,8500,Census Tract 85,Westchester County,[361190085001030],[1030]
2019,11/21/2019,11 PM,76.0,1,7600,Census Tract 76,Westchester County,[361190076006001],[6001]
2019,11/22/2019,10 AM,13.02,1,1302,Census Tract 13.02,Westchester County,[361190013023000],[3000]
2019,11/23/2019,10 AM,83.02,1,8302,Census Tract 83.02,Westchester County,[361190083024007],[4007]
2019,11/23/2019,05 PM,130.0,1,13000,Census Tract 130,Westchester County,[361190130004026],[4026]
2019,11/25/2019,03 PM,114.0,1,11400,Census Tract 114,Westchester County,[361190114004018],[4018]
2019,11/25/2019,03 PM,14.02,1,1402,Census Tract 14.02,Westchester County,[361190014022005],[2005]
2019,11/26/2019,07 AM,22.03,1,2203,Census Tract 22.03,Westchester County,[361190022032004],[2004]
2019,11/26/2019,10 AM,132.01,1,13201,Census Tract 132.01,Westchester County,[361190132012036],[2036]
2019,11/26/2019,10 AM,137.0,1,13700,Census Tract 137,Westchester County,[361190137001000],[1000]
2019,11/26/2019,12 PM,67.0,1,6700,Census Tract 67,Westchester County,[361190067003043],[3043]
2019,11/26/2019,03 PM,102.0,1,10200,Census Tract 102,Westchester County,[361190102001006],[1006]
2019,11/28/2019,11 AM,68.01,1,6801,Census Tract 68.01,Westchester County,[361190068012003],[2003]
2019,12/03/2019,08 AM,50.02,1,5002,Census Tract 50.02,Westchester County,[361190050022011],[2011]
2019,12/03/2019,05 PM,103.0,1,10300,Census Tract 103,Westchester County,[361190103001004],[1004]
2019,12/04/2019,09 AM,68.01,1,6801,Census Tract 68.01,Westchester County,[361190068013009],[3009]
2019,12/04/2019,10 AM,76.0,1,7600,Census Tract 76,Westchester County,[361190076002021],[2021]
2019,12/04/2019,10 AM,84.03,1,8403,Census Tract 84.03,Westchester County,[361190084031010],[1010]
2019,12/04/2019,11 AM,104.0,1,10400,Census Tract 104,Westchester County,[361190104003010],[3010]
2019,12/04/2019,10 PM,85.0,1,8500,Census Tract 85,Westchester County,[361190085001033],[1033]
2019,12/05/2019,08 AM,61.0,1,6100,Census Tract 61,Westchester County,[361190061003000],[3000]
2019,12/05/2019,09 AM,123.03,1,12303,Census Tract 123.03,Westchester County,[361190123031007],[1007]
2019,12/05/2019,01 PM,21.01,1,2101,Census Tract 21.01,Westchester County,[361190021013008],[3008]
2019,12/05/2019,01 PM,67.0,1,6700,Census Tract 67,Westchester County,[361190067001008],[1008]
2019,12/06/2019,07 AM,148.11,1,14811,Census Tract 148.11,Westchester County,[361190148114005],[4005]
2019,12/06/2019,11 AM,103.0,1,10300,Census Tract 103,Westchester County,[361190103001004],[1004]
