,Geoid,Winter_ReportCount_ConEd,Winter_ReportCount_NYFD,CountyName,CensusTract
342,36061009400,2.0,,New York County,94.0
343,36061009300,2.0,,New York County,93.0
344,36061009200,2.0,,New York County,92.0
345,36061008603,2.0,,New York County,86.03
346,36061007900,3.0,,New York County,79.0
347,36061007600,4.0,,New York County,76.0
348,36061007400,2.0,,New York County,74.0
349,36061007300,1.0,,New York County,73.0
350,36061007100,1.0,,New York County,71.0
351,36061007000,1.0,,New York County,70.0
352,36061006800,1.0,,New York County,68.0
353,36061006700,1.0,,New York County,67.0
354,36061006600,2.0,,New York County,66.0
355,36061006500,1.0,,New York County,65.0
356,36061006300,1.0,,New York County,63.0
357,36061005600,1.0,,New York County,56.0
358,36061005200,1.0,,New York County,52.0
359,36061005000,2.0,,New York County,50.0
360,36061004500,1.0,,New York County,45.0
361,36061003601,1.0,,New York County,36.01
362,36061003200,5.0,,New York County,32.0
363,36061003100,2.0,,New York County,31.0
364,36061003002,1.0,,New York County,30.02
365,36061002700,2.0,,New York County,27.0
366,36061002602,2.0,,New York County,26.02
367,36061001600,2.0,,New York County,16.0
368,36061001502,1.0,,New York County,15.02
369,36061001402,2.0,,New York County,14.02
370,36061001401,1.0,,New York County,14.01
371,36061000700,4.0,,New York County,7.0
372,36005046201,1.0,,Bronx County,462.01
373,36005045600,2.0,,Bronx County,456.0
374,36005042600,3.0,,Bronx County,426.0
375,36005042400,1.0,,Bronx County,424.0
376,36005040702,1.0,,Bronx County,407.02
377,36005039000,1.0,,Bronx County,390.0
378,36005038500,2.0,,Bronx County,385.0
379,36005036400,1.0,,Bronx County,364.0
380,36005034300,1.0,,Bronx County,343.0
381,36005034000,1.0,,Bronx County,340.0
382,36005033500,1.0,,Bronx County,335.0
383,36005032600,1.0,,Bronx County,326.0
384,36005032400,1.0,,Bronx County,324.0
385,36005031800,1.0,,Bronx County,318.0
386,36005026701,1.0,,Bronx County,267.01
387,36005026602,1.0,,Bronx County,266.02
388,36005026500,1.0,,Bronx County,265.0
389,36005025600,1.0,,Bronx County,256.0
390,36005025100,1.0,,Bronx County,251.0
391,36005024800,1.0,,Bronx County,248.0
392,36005024000,1.0,,Bronx County,240.0
393,36005023600,1.0,,Bronx County,236.0
394,36005022901,1.0,,Bronx County,229.01
395,36005022701,1.0,,Bronx County,227.01
396,36005022500,1.0,,Bronx County,225.0
397,36005022101,1.0,,Bronx County,221.01
398,36005021800,1.0,,Bronx County,218.0
399,36005021700,1.0,,Bronx County,217.0
400,36005021501,2.0,,Bronx County,215.01
401,36005021302,2.0,,Bronx County,213.02
402,36005020200,1.0,,Bronx County,202.0
403,36005019900,2.0,,Bronx County,199.0
404,36005019500,1.0,,Bronx County,195.0
405,36005016000,2.0,,Bronx County,160.0
406,36005015500,2.0,,Bronx County,155.0
407,36005015300,1.0,,Bronx County,153.0
408,36005014900,1.0,,Bronx County,149.0
409,36005012901,1.0,,Bronx County,129.01
410,36005012500,1.0,,Bronx County,125.0
411,36005011900,1.0,,Bronx County,119.0
412,36005009300,2.0,,Bronx County,93.0
413,36005007100,1.0,,Bronx County,71.0
414,36005006700,1.0,,Bronx County,67.0
415,36005006300,2.0,,Bronx County,63.0
416,36005003900,1.0,,Bronx County,39.0
417,36005001900,1.0,,Bronx County,19.0
418,36005000200,1.0,,Bronx County,2.0
419,36119014809,1.0,,Westchester County,148.09
420,36119014604,1.0,,Westchester County,146.04
421,36119012301,2.0,,Westchester County,123.01
422,36119010804,1.0,,Westchester County,108.04
423,36119010300,2.0,,Westchester County,103.0
424,36119009100,1.0,,Westchester County,91.0
425,36119007100,2.0,,Westchester County,71.0
426,36119006400,1.0,,Westchester County,64.0
427,36119006100,1.0,,Westchester County,61.0
428,36119005901,1.0,,Westchester County,59.01
429,36119004400,1.0,,Westchester County,44.0
430,36119003600,1.0,,Westchester County,36.0
431,36119002405,1.0,,Westchester County,24.05
432,36119001900,3.0,,Westchester County,19.0
433,36119001102,1.0,,Westchester County,11.02
434,36119000600,2.0,,Westchester County,6.0
435,36081156700,1.0,,Queens County,1567.0
436,36081150702,1.0,,Queens County,1507.02
437,36081146300,2.0,,Queens County,1463.0
438,36081141700,1.0,,Queens County,1417.0
439,36081140902,2.0,,Queens County,1409.02
440,36081129102,4.0,,Queens County,1291.02
441,36081124100,3.0,,Queens County,1241.0
