,TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTrack,CensusBlock,CountyName
133,WL19008262,41.150929999999995,-73.77376,10514,M,07/17/2019 11:28 AM,121.01,2002,Westchester County
134,WL19008334,41.00801,-73.87959000000001,10522,M,07/18/2019 10:49 PM,104,3010,Westchester County
135,WL19008491,41.02616,-73.67817,10573,M,07/23/2019 04:48 PM,83.02,1003,Westchester County
136,WL19008670,41.005179999999996,-73.83689,10502,M,07/28/2019 02:00 PM,106,3042,Westchester County
137,WL19008890,41.02997,-73.86585,10533,M,08/03/2019 12:38 PM,113,2005,Westchester County
138,WL19009072,41.01787,-73.73035,10605,M,08/08/2019 12:19 PM,97.02,2026,Westchester County
139,WL19009118,41.04031,-73.77239,10603,M,08/09/2019 12:11 PM,90,2000,Westchester County
140,WL19009315,41.164229999999996,-73.77766,10514,M,08/14/2019 01:37 PM,131.04,3021,Westchester County
141,WL19009341,41.292229999999996,-73.78134,10598,M,08/15/2019 11:17 AM,148.08,2043,Westchester County
142,WL19009344,40.91798,-73.82516,10550,M,08/15/2019 11:29 AM,41,3006,Westchester County
143,WL19009349,40.953790000000005,-73.77854,10804,M,08/15/2019 12:52 PM,68.02,1001,Westchester County
144,WL19009632,40.94043,-73.898,10701,M,08/23/2019 06:54 AM,4.03,2006,Westchester County
145,WL19009811,40.955059999999996,-73.72896,10543,M,08/25/2019 01:10 PM,74.01,3009,Westchester County
146,WL19009830,41.02333,-73.76261,10605,M,08/26/2019 10:21 AM,95,2000,Westchester County
147,WL19009840,40.9559,-73.83068,10707,M,08/26/2019 12:38 PM,22.01,1032,Westchester County
148,WL19010282,40.9404,-73.77871999999999,10804,M,09/05/2019 10:46 AM,67,3003,Westchester County
149,WL19010513,41.03575,-73.86528,10533,M,09/08/2019 05:26 PM,113,4015,Westchester County
150,WL19010588,41.03575,-73.86528,10533,M,09/10/2019 10:57 AM,113,4015,Westchester County
151,WL19010622,41.0264,-73.78412,10606,M,09/11/2019 08:13 AM,91,2003,Westchester County
152,WL19010625,40.9441,-73.74502,10543,M,09/11/2019 10:28 AM,72,5009,Westchester County
153,WL19010997,40.96053,-73.68665,10580,M,09/19/2019 10:31 AM,76,3007,Westchester County
154,WL19011060,40.94103,-73.82635,10708,M,09/20/2019 10:50 AM,47,2030,Westchester County
155,WL19011075,40.984159999999996,-73.88071,10706,M,09/20/2019 01:09 PM,103,2005,Westchester County
156,WL19011272,41.13798,-73.85739000000001,10510,M,09/25/2019 02:49 PM,132.01,2016,Westchester County
157,WL19011352,41.16382,-73.77702,10514,M,09/27/2019 11:17 AM,131.04,3021,Westchester County
158,WL19011381,41.06503,-73.85259,10591,M,09/27/2019 02:44 PM,114.01,2002,Westchester County
159,WL19011463,40.91451,-73.89688000000001,10705,M,09/29/2019 09:54 AM,13.05,4002,Westchester County
160,WL19011595,40.93615,-73.79245999999999,10804,M,10/02/2019 01:18 PM,67,3043,Westchester County
161,WL19011667,41.00832,-73.69051999999999,10573,M,10/04/2019 11:20 AM,83.02,4030,Westchester County
162,WL19011719,41.04609,-73.78983000000001,10603,M,10/05/2019 01:23 PM,109.02,4025,Westchester County
163,WL19011912,40.963840000000005,-73.80527,10709,M,10/10/2019 03:34 PM,50.02,3013,Westchester County
164,WL19012048,41.1662,-73.77858,10514,M,10/13/2019 06:02 PM,131.04,3021,Westchester County
165,WL19012163,40.91132,-73.88899,10705,M,10/15/2019 06:05 PM,13.02,3000,Westchester County
166,WL19012182,40.93436,-73.84828,10708,M,10/16/2019 10:35 AM,22.04,3010,Westchester County
167,WL19012288,41.01797,-73.75686,10605,M,10/18/2019 01:57 PM,97.02,1003,Westchester County
168,WL19012578,41.03174,-73.68545,10573,M,10/24/2019 02:24 PM,83.02,3028,Westchester County
169,WL19012606,41.02704,-73.68682,10573,M,10/25/2019 11:10 AM,83.02,2001,Westchester County
170,WL19012629,40.96669,-73.77363000000001,10804,M,10/25/2019 03:33 PM,68.02,2001,Westchester County
171,WL19012658,40.90537,-73.81209,10803,M,10/26/2019 02:33 PM,54,2025,Westchester County
172,WL19012684,40.92349,-73.83197,10552,M,10/27/2019 02:15 PM,39,1010,Westchester County
173,WL19012716,41.00829,-73.78643000000001,10583,M,10/28/2019 11:00 AM,100,3008,Westchester County
174,WL19012864,41.021,-73.69033,10573,M,10/30/2019 05:36 PM,83.02,4003,Westchester County
175,WL19012922,40.93926,-73.77171,10804,M,11/01/2019 12:32 PM,67,2003,Westchester County
176,WL19012951,40.93742,-73.83189,10708,M,11/02/2019 09:40 AM,46,3000,Westchester County
177,WL19012982,40.992779999999996,-73.80303,10583,M,11/02/2019 08:12 PM,100,4035,Westchester County
178,WL19013082,40.93701,-73.7936,10804,M,11/05/2019 09:03 AM,66,1004,Westchester County
179,WL19013103,41.00294,-73.66641,10573,M,11/05/2019 11:50 AM,80,3009,Westchester County
180,WL19013114,41.06397,-73.83530999999999,10591,M,11/05/2019 01:28 PM,111.01,1009,Westchester County
181,WL19013187,41.00698,-73.78679,10583,M,11/06/2019 04:12 PM,100,3011,Westchester County
182,WL19013199,40.964040000000004,-73.79602,10804,M,11/06/2019 08:02 PM,68.01,3042,Westchester County
183,WL19013256,41.30063,-73.7931,10598,M,11/08/2019 08:46 AM,148.11,3012,Westchester County
184,WL19013329,40.93,-73.83491,10552,M,11/09/2019 01:47 PM,45,1001,Westchester County
185,WL19013352,40.94836,-73.76624,10538,M,11/10/2019 04:33 PM,70,4002,Westchester County
186,WL19013381,40.98076,-73.82313,10583,M,11/11/2019 12:22 PM,21.05,1006,Westchester County
187,WL19013386,40.92811,-73.81738,10552,M,11/11/2019 12:47 PM,151,1004,Westchester County
188,WL19013475,40.963440000000006,-73.77793,10804,M,11/13/2019 12:56 PM,68.02,2015,Westchester County
189,WL19013545,40.94275,-73.7558,10538,M,11/14/2019 02:02 PM,69,3036,Westchester County
190,WL19013551,40.939640000000004,-73.79897,10804,M,11/14/2019 02:24 PM,68.02,4010,Westchester County
191,WL19013565,41.06463,-73.85417,10591,M,11/14/2019 05:15 PM,114.01,2013,Westchester County
192,WL19013584,40.97318,-73.83593,10710,M,11/15/2019 07:41 AM,21.01,3007,Westchester County
193,WL19013588,41.08435,-73.77727,10595,M,11/15/2019 09:13 AM,119.02,2001,Westchester County
194,WL19013613,41.0648,-73.76655,10603,M,11/15/2019 11:46 AM,123.01,1026,Westchester County
195,WL19013616,40.98191,-73.83191,10710,M,11/15/2019 12:26 PM,21.01,1005,Westchester County
196,WL19013728,40.9279,-73.83229,10552,M,11/18/2019 10:34 AM,151,3013,Westchester County
197,WL19013822,40.95447,-73.79823,10804,M,11/19/2019 10:31 PM,68.02,3024,Westchester County
198,WL19013850,40.92999,-73.83491,10552,M,11/20/2019 11:51 AM,45,1001,Westchester County
199,WL19013864,41.03663,-73.76512,10601,M,11/20/2019 03:02 PM,89.01,5005,Westchester County
200,WL19013878,40.945879999999995,-73.8919,10703,M,11/20/2019 06:57 PM,6.02,4004,Westchester County
201,WL19013899,40.92204,-73.78255,10801,M,11/21/2019 09:26 AM,65,3000,Westchester County
202,WL19013904,40.969770000000004,-73.69237,10580,M,11/21/2019 10:13 AM,75,2002,Westchester County
203,WL19013907,40.91575,-73.79507,10801,M,11/21/2019 10:22 AM,63.01,1004,Westchester County
204,WL19013921,40.98962,-73.72138000000001,10528,M,11/21/2019 12:10 PM,85,1030,Westchester County
